Number,Name,Address,Latitude,Longitude
99,99 - CORDELIA ST / PEEL ST,Cordelia St / Peel St,-27.474011,153.014541
58,58 - EAST ST / ANN ST,East St / Ann St,-27.455472,153.037775
57,57 - BRIDGE ST / WICKHAM ST,Bridge St / Wickham St,-27.454746,153.036154
32,32 - TANK ST / GEORGE ST,Tank St / George St,-27.468678,153.019801
86,86 - SYDNEY ST / MORAY ST,Sydney St / Moray St,-27.471422,153.04519
1,1 - EDWARD ST / QUEEN ST,Edward St / Queen St,-27.46812,153.02682
41,41 - ANN ST / WHARF ST,Ann St / Wharf St,-27.46383,153.029125
116,116 - CORDELIA ST / ERNEST ST,Cordelia St / Ernest St,-27.481137,153.019284
81,81 - GRIFFITH ST / RIVERVIEW CT,Griffith St / Riverview Ct,-27.471886,153.041854
104,104 - HARDGRAVE RD / SKINNER ST,Hardgrave Rd / Skinner St,-27.482082,153.006981
34,34 - MAKERSTON ST / ROMA ST,Makerston St / Roma St,-27.467037,153.018471
